source,destination,methode,original_bytes,compresse_bytes,gain_%,statut,duree_s,erreur
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/11-14_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-90-A-91.mp3,audio_drkindo_opus/11-14_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-90-A-91.opus,.mp3 -> .opus,21022930,21126425,-0.49,converted,109.87,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/12-16_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-91-A-92.mp3,audio_drkindo_opus/12-16_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-91-A-92.opus,.mp3 -> .opus,22123032,22892619,-3.48,converted,121.22,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/13-17_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-92-A-93~1.mp3,audio_drkindo_opus/13-17_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-92-A-93~1.opus,.mp3 -> .opus,26082986,26833990,-2.88,converted,144.23,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/14-18_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-94-A-97.mp3,audio_drkindo_opus/14-18_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-94-A-97.opus,.mp3 -> .opus,25103048,25451348,-1.39,converted,138.65,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/15-19_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-98-A-101.mp3,audio_drkindo_opus/15-19_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-98-A-101.opus,.mp3 -> .opus,22870937,23326633,-1.99,converted,127.80,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/16-20_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-102-A-105.mp3,audio_drkindo_opus/16-20_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-102-A-105.opus,.mp3 -> .opus,22859058,23430884,-2.50,converted,127.06,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/17-21_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-106-A-111.mp3,audio_drkindo_opus/17-21_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-106-A-111.opus,.mp3 -> .opus,21986953,22614308,-2.85,converted,124.07,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/18-23_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-112-A-114.mp3,audio_drkindo_opus/18-23_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-112-A-114.opus,.mp3 -> .opus,21979012,22200413,-1.01,converted,123.26,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/19-24_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-115-A-118.mp3,audio_drkindo_opus/19-24_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-115-A-118.opus,.mp3 -> .opus,21779019,22948797,-5.37,converted,116.09,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/20-25_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-119-A-121.mp3,audio_drkindo_opus/20-25_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-119-A-121.opus,.mp3 -> .opus,22903120,24015879,-4.86,converted,121.76,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/21-26_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-121-A-123.mp3,audio_drkindo_opus/21-26_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-121-A-123.opus,.mp3 -> .opus,21014989,22027600,-4.82,converted,110.78,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/22-27_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-124-A-125.mp3,audio_drkindo_opus/22-27_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-124-A-125.opus,.mp3 -> .opus,23747012,25341810,-6.72,converted,117.92,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/23-28_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-126-A-128~1.mp3,audio_drkindo_opus/23-28_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-126-A-128~1.opus,.mp3 -> .opus,20127035,21149288,-5.08,converted,108.73,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/24-30_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-128-A-129.mp3,audio_drkindo_opus/24-30_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-128-A-129.opus,.mp3 -> .opus,19039120,19670535,-3.32,converted,102.02,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/25-01_05_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-130-A-135.mp3,audio_drkindo_opus/25-01_05_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-130-A-135.opus,.mp3 -> .opus,27440309,29392767,-7.12,converted,61.71,
